@relation 'bladder_cancer_dataset_grouped-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R2-6287,6289-8566,8568-12792,12794-57821'

@attribute Stage {T1,T2,Ta}
@attribute ENSG00000130299.12 numeric
@attribute ENSG00000143970.12 numeric
@attribute ENSG00000169756.12 numeric

@data
T1,5,5784.29,0
T1,0,6662.97,0
T1,0,7154.26,1.16
T1,0,5097.57,0
T1,0,6363.58,0
T1,0,4889.69,0
T1,0,7157.69,0
T1,0,5097.57,0
T1,0,7300.89,0
T1,4.29,4638.97,0
T1,0,7157.69,0
T1,0,7157.69,0
T1,0,6107.88,0
T1,0,6821.52,0
T1,0.96,6817.96,0
T1,0,6821.52,0
T1,0,6363.58,0
T1,0,4889.69,0
T1,0,6107.88,0
T1,0,5085.72,0
T1,0,6363.58,0
T1,0,4977.39,0
T1,0,2160.49,21.14
T2,0,8102.45,0
T2,6.92,4773.61,1.91
T2,6.92,4773.61,1.91
T2,12.33,7555.09,0
T2,16.37,9170.3,0
T2,0,8622.78,0
T2,12.33,7555.09,0
T2,16.37,9170.3,0
Ta,8.2,6365.09,5.45
Ta,5.44,6924.68,3.76
Ta,8.2,6365.09,5.45
Ta,9.36,4431.16,4.31
Ta,0,3457.58,21.82
Ta,6.85,5325.47,5.68
Ta,7.24,7082.62,2
Ta,0,6624.62,0
Ta,0,3713.89,0
Ta,0,7105.9,0
Ta,0,5328.38,0
Ta,0,1713.63,42.2
Ta,0,3457.58,21.82
Ta,6.85,5325.47,5.68
Ta,5.44,6924.68,3.76
Ta,0,4254.02,3.44
Ta,0,4254.02,3.44
Ta,3.73,6165.27,4.12
Ta,0,5328.38,0
Ta,0,4474.55,0
Ta,0,3457.58,21.82
Ta,0,8367.3,1.93
Ta,5.44,6924.68,3.76
Ta,0,5586.17,0
Ta,0,7105.9,0
Ta,5.12,5908.68,2.83
Ta,0,1698.7,54.44
